Internal,Description,Pac
SMX-TD-00001,"ZPPCT661628 - Cellpack DCL",Box
SMX-TD-00002,"P90411317 - Sulfolyser",Box
SMX-TD-00003,"ZPPAV021787 - Lysercell WDF",Box
SMX-TD-00004,"AA325279 - Fluoroell WDF",Box
SMX-TD-00005,"CF579595 - Cellclean Auto",Box
SMX-TD-00006,"BL254184/CB060015/AS975028 - XN-L Check (L1, L2, L3)",Set
SMX-TD-00007,"BL254184 - XN - L1 Check",Serial
SMX-TD-00008,"CB060015 - XN - L2 Check",Serial
SMX-TD-00009,"AS975028 - XN - L3 Check",Serial
SMX-TD-00010,"ZPS13196 - ALAT (GPT) FS (IFCC mod)",Kit
SMX-TD-00011,"ZPS13201 - ASAT (GOT) FS (IFCC mod)",Kit
SMX-TD-00012,"ZPS13205 - Cholesterol FS BX-Series",Kit
SMX-TD-00013,"ZPS13226 - HDL-C Direct FS BX-Series",Kit
SMX-TD-00014,"ZPS13227 - LDL-C Direct FS BX-Series",Kit
SMX-TD-00015,"ZPS13221 - Triglycerides FS BX-Series",Kit
SMX-TD-00016,"ZPS13213 - Glucose Hexokinase FS BX-Series",Kit
SMX-TD-00017,"ZPS13223 - Uric Acid FS TOOS BX-Series",Kit
SMX-TD-00018,"ZPS13209 - Creatinine PAP FS BX-Series",Kit
SMX-TD-00019,"ZPS13225 - Urea FS BX-Series",Kit
SMX-TD-00020,"AY258998 - Wash Solution C-1",Bottle
SMX-TD-00021,"BW819452 - Wash Solution No.3",Bottle
SMX-TD-00022,"BN811023 - Wash Solution No.9",Bottle
SMX-TD-00023,"ZPS00230 - Trulab N, 6 x 5 mL",Kit
SMX-TD-00024,"ZPS00232 - Trulab P, 6 x 5 mL",Kit
SMX-TD-00025,"ZPS00207 - Trucal U, 6 x 3 mL",Kit
SMX-TD-00026,"ZPS00248 - TruCal Lipid",Kit
SMX-TD-00027,"BB087038 - Meditape UC-10S (Only for PL)",Bottle
SMX-TD-00028,"AU448468 - UC-Control",Box
